"Jahr","Kanton (-) / Bezirk (>>) / Gemeinde (......)","Haushaltsgrösse - Total","1 Person","2 Personen","3 Personen","4 Personen","5 Personen","6 oder mehr Personen"
"2023","Schweiz / Suisse / Svizzera / Switzerland",8778064,1495027,2608348,1533822,1969888,794030,376949
"2023","- Zürich",1575217,269441,468998,279780,357872,133640,65486
"2023",">> Bezirk Affoltern",57199,7311,17006,9897,15136,5580,2269
"2023","......0001 Aeugst am Albis",1985,272,646,321,500,185,61
"2023","......0002 Affoltern am Albis",12585,2019,3846,2136,2840,1150,594
"2023","......0003 Bonstetten",5647,720,1628,1104,1620,435,140
"2023","......0004 Hausen am Albis",3944,510,1186,648,964,450,186
"2023","......0005 Hedingen",3925,491,1172,681,1032,355,194
"2023","......0006 Kappel am Albis",1312,151,346,186,360,195,74
"2023","......0007 Knonau",2441,264,670,390,704,300,113
"2023","......0008 Maschwanden",638,83,210,102,152,65,26
"2023","......0009 Mettmenstetten",5632,604,1630,1002,1500,655,241
"2023","......0010 Obfelden",5844,716,1682,981,1584,620,261
"2023","......0011 Ottenbach",2954,358,968,510,744,275,99
"2023","......0012 Rifferswil",1142,128,326,192,308,120,68
"2023","......0013 Stallikon",3869,411,1184,654,1164,355,101
"2023","......0014 Wettswil am Albis",5281,584,1512,990,1664,420,111
"2023",">> Bezirk Andelfingen",32337,4260,10368,5433,7520,3285,1471
"2023","......0022 Benken (ZH)",848,120,246,132,200,95,55
"2023","......0023 Berg am Irchel",596,77,240,78,132,45,24
"2023","......0024 Buch am Irchel",1028,108,302,198,256,115,49
"2023","......0025 Dachsen",1957,226,640,318,552,170,51
"2023","......0026 Dorf",718,74,198,144,236,60,6
"2023","......0027 Feuerthalen",3759,628,1150,693,820,330,138
"2023","......0028 Flaach",1467,198,472,276,292,160,69
"2023","......0029 Flurlingen",1498,191,482,252,380,125,68
"2023","......0031 Henggart",2300,261,732,426,564,240,77
"2023","......0033 Kleinandelfingen",2175,272,712,381,484,220,106
"2023","......0034 Laufen-Uhwiesen",1800,291,644,273,420,125,47
"2023","......0035 Marthalen",1932,274,620,300,456,175,107
"2023","......0037 Ossingen",1689,228,526,279,376,180,100
"2023","......0038 Rheinau",1264,223,418,195,248,135,45
"2023","......0039 Thalheim an der Thur",1017,119,300,171,232,90,105
"2023","......0040 Trüllikon",1082,137,420,138,208,110,69
"2023","......0041 Truttikon",468,41,158,69,132,50,18
"2023","......0043 Volken",381,52,104,69,72,45,39
"2023","......0291 Andelfingen",3537,408,1058,600,864,430,177
"2023","......0292 Stammheim",2821,332,946,441,596,385,121
"2023",">> Bezirk Bülach",161950,24461,47946,29370,37492,15205,7476
"2023","......0051 Bachenbülach",4271,560,1278,747,1004,480,202
"2023","......0052 Bassersdorf",12104,1566,3490,2271,3040,1090,647
"2023","......0053 Bülach",23728,3460,7028,4266,5596,2330,1048
"2023","......0054 Dietlikon",7944,1230,2416,1356,1868,725,349
"2023","......0055 Eglisau",5596,651,1662,1029,1492,485,277
"2023","......0056 Embrach",10172,1391,2882,1863,2288,1180,568
"2023","......0057 Freienstein-Teufen",2341,258,834,399,492,255,103
"2023","......0058 Glattfelden",5342,706,1562,999,1352,445,278
"2023","......0059 Hochfelden",1982,227,578,357,516,195,109
"2023","......0060 Höri",3465,379,924,663,784,425,290
"2023","......0061 Hüntwangen",1096,128,352,216,284,75,41
"2023","......0062 Kloten",20953,3924,6210,3942,4292,1805,780
"2023","......0063 Lufingen",2818,315,770,558,820,250,105
"2023","......0064 Nürensdorf",5712,817,1900,1014,1364,440,177
"2023","......0065 Oberembrach",1070,164,388,174,236,75,33
"2023","......0066 Opfikon",21294,3850,5638,3804,4612,2100,1290
"2023","......0067 Rafz",4732,654,1500,813,1112,490,163
"2023","......0068 Rorbas",2989,342,748,546,792,385,176
"2023","......0069 Wallisellen",17336,2901,5336,3069,4012,1425,593
"2023","......0070 Wasterkingen",577,96,208,81,120,60,12
"2023","......0071 Wil (ZH)",1562,168,470,294,340,205,85
"2023","......0072 Winkel",4866,674,1772,909,1076,285,150
"2023",">> Bezirk Dielsdorf",94099,13152,27272,17301,23096,8760,4518
"2023","......0081 Bachs",646,79,214,135,140,60,18
"2023","......0082 Boppelsen",1442,164,432,270,436,90,50
"2023","......0083 Buchs (ZH)",6593,929,1892,1218,1760,595,199
"2023","......0084 Dällikon",4364,550,1210,861,1080,430,233
"2023","......0085 Dänikon",1849,239,544,357,488,135,86
"2023","......0086 Dielsdorf",6299,912,1840,1200,1476,495,376
"2023","......0087 Hüttikon",970,83,248,153,316,120,50
"2023","......0088 Neerach",3295,457,1266,546,724,180,122
"2023","......0089 Niederglatt",5273,767,1548,939,1284,380,355
"2023","......0090 Niederhasli",9541,1162,2610,1851,2624,840,454
"2023","......0091 Niederweningen",3221,369,888,660,844,345,115
"2023","......0092 Oberglatt",7512,1095,1862,1356,1784,850,565
"2023","......0093 Oberweningen",1876,206,620,378,468,130,74
"2023","......0094 Otelfingen",2980,324,868,540,808,320,120
"2023","......0095 Regensberg",458,92,152,63,96,35,20
"2023","......0096 Regensdorf",19364,3032,5520,3591,4340,1980,901
"2023","......0097 Rümlang",8097,1220,2218,1407,2056,830,366
"2023","......0098 Schleinikon",868,101,320,135,248,45,19
"2023","......0099 Schöfflisdorf",1373,214,458,246,304,115,36
"2023","......0100 Stadel",2338,343,742,417,548,200,88
"2023","......0101 Steinmaur",3642,520,1150,618,824,350,180
"2023","......0102 Weiach",2098,294,670,360,448,235,91
"2023",">> Bezirk Hinwil",99385,14843,30132,16593,23252,9530,5035
"2023","......0111 Bäretswil",5111,646,1596,891,1192,555,231
"2023","......0112 Bubikon",7492,922,2330,1221,2044,740,235
"2023","......0113 Dürnten",7785,1045,2368,1173,1884,885,430
"2023","......0114 Fischenthal",2578,358,774,462,628,225,131
"2023","......0115 Gossau (ZH)",10451,1430,3206,1734,2540,1010,531
"2023","......0116 Grüningen",3797,547,1182,594,984,345,145
"2023","......0117 Hinwil",11691,1706,3748,2028,2560,970,679
"2023","......0118 Rüti (ZH)",12614,2221,3736,1980,2812,1205,660
"2023","......0119 Seegräben",1460,193,480,246,348,150,43
"2023","......0120 Wald (ZH)",10344,1656,3072,1644,2304,1040,628
"2023","......0121 Wetzikon (ZH)",26062,4119,7640,4620,5956,2405,1322
"2023",">> Bezirk Horgen",129080,20087,38096,23940,31888,10640,4429
"2023","......0131 Adliswil",19387,3410,5724,3573,4664,1390,626
"2023","......0135 Kilchberg (ZH)",9335,1487,2572,1980,2272,795,229
"2023","......0136 Langnau am Albis",8006,1100,2264,1440,2172,785,245
"2023","......0137 Oberrieden",5322,824,1658,1020,1268,435,117
"2023","......0138 Richterswil",13971,2059,4140,2391,3688,1210,483
"2023","......0139 Rüschlikon",6157,804,1676,1146,1736,530,265
"2023","......0141 Thalwil",18377,3160,5456,3426,4540,1295,500
"2023","......0293 Wädenswil",25313,3865,7860,4365,5852,2235,1136
"2023","......0295 Horgen",23212,3378,6746,4599,5696,1965,828
"2023",">> Bezirk Meilen",106881,16211,31530,19464,26956,9315,3405
"2023","......0151 Erlenbach (ZH)",5492,783,1594,1056,1340,555,164
"2023","......0152 Herrliberg",6662,921,1950,1209,1792,575,215
"2023","......0153 Hombrechtikon",8853,1341,2690,1521,2152,760,389
"2023","......0154 Küsnacht (ZH)",14796,2282,4184,2622,3900,1275,533
"2023","......0155 Männedorf",11469,1713,3456,2154,2932,895,319
"2023","......0156 Meilen",14547,2163,4294,2697,3796,1210,387
"2023","......0157 Oetwil am See",5015,751,1404,924,1240,455,241
"2023","......0158 Stäfa",14804,2403,4810,2577,3456,1180,378
"2023","......0159 Uetikon am See",6283,796,1898,1137,1700,565,187
"2023","......0160 Zumikon",5712,815,1482,1137,1516,560,202
"2023","......0161 Zollikon",13248,2243,3768,2430,3132,1285,390
"2023",">> Bezirk Pfäffikon",62173,8871,19412,10548,14944,5620,2778
"2023","......0172 Fehraltorf",6779,849,2088,1158,1844,600,240
"2023","......0173 Hittnau",3863,509,1190,660,952,440,112
"2023","......0176 Lindau",5804,629,1800,1047,1444,520,364
"2023","......0177 Pfäffikon",12222,2018,3954,2028,2816,960,446
"2023","......0178 Russikon",4517,469,1448,804,1204,360,232
"2023","......0180 Weisslingen",3447,426,1050,657,956,260,98
"2023","......0181 Wila",2054,313,614,387,400,240,100
"2023","......0182 Wildberg",1026,111,314,150,276,100,75
"2023","......0296 Illnau-Effretikon",17467,2828,5320,2856,4008,1590,865
"2023","......0297 Bauma",4994,719,1634,801,1044,550,246
"2023",">> Bezirk Uster",138025,21117,41202,24384,34060,11830,5432
"2023","......0191 Dübendorf",31018,5614,9646,5688,6752,2190,1128
"2023","......0192 Egg",8691,1289,2720,1476,2188,820,198
"2023","......0193 Fällanden",9506,1352,2672,1674,2668,815,325
"2023","......0194 Greifensee",5343,729,1498,942,1372,580,222
"2023","......0195 Maur",10846,1523,3226,2058,2704,1025,310
"2023","......0196 Mönchaltorf",4197,572,1278,699,1108,330,210
"2023","......0197 Schwerzenbach",5108,810,1550,921,1236,400,191
"2023","......0198 Uster",35798,5809,10760,6075,8844,2890,1420
"2023","......0199 Volketswil",19464,2495,5544,3333,4976,2050,1066
"2023","......0200 Wangen-Brüttisellen",8054,924,2308,1518,2212,730,362
"2023",">> Bezirk Winterthur",177181,28649,53200,29760,40656,16700,8216
"2023","......0211 Altikon",747,95,232,120,216,60,24
"2023","......0213 Brütten",2175,258,784,375,536,160,62
"2023","......0214 Dägerlen",1119,105,378,186,280,145,25
"2023","......0215 Dättlikon",834,78,282,126,224,95,29
"2023","......0216 Dinhard",1726,195,588,258,484,140,61
"2023","......0218 Ellikon an der Thur",1019,126,310,204,188,140,51
"2023","......0219 Elsau",3741,387,1166,684,976,340,188
"2023","......0220 Hagenbuch",1155,131,364,240,228,125,67
"2023","......0221 Hettlingen",3195,317,906,606,916,370,80
"2023","......0223 Neftenbach",5725,666,1712,1014,1484,555,294
"2023","......0224 Pfungen",4088,564,1126,801,880,490,227
"2023","......0225 Rickenbach (ZH)",2806,319,736,480,792,300,179
"2023","......0226 Schlatt (ZH)",771,75,202,120,208,130,36
"2023","......0227 Seuzach",7793,1164,2630,1332,1872,560,235
"2023","......0228 Turbenthal",5097,671,1516,825,1164,545,376
"2023","......0230 Winterthur",116902,21027,34790,19482,25580,10755,5268
"2023","......0231 Zell (ZH)",6536,989,1918,1047,1624,605,353
"2023","......0294 Elgg",5112,750,1566,720,1112,545,419
"2023","......0298 Wiesendangen",6640,732,1994,1140,1892,640,242
"2023",">> Bezirk Dietikon",96108,15213,27692,17751,21748,8860,4844
"2023","......0241 Aesch (ZH)",1684,214,508,297,488,135,42
"2023","......0242 Birmensdorf (ZH)",7147,1012,2094,1293,1808,700,240
"2023","......0243 Dietikon",27773,4489,7624,5037,6224,2775,1624
"2023","......0244 Geroldswil",5167,693,1452,945,1260,520,297
"2023","......0245 Oberengstringen",6671,1244,2104,1251,1372,465,235
"2023","......0246 Oetwil an der Limmat",2569,439,938,345,548,210,89
"2023","......0247 Schlieren",20099,3418,5524,4005,4048,1835,1269
"2023","......0248 Uitikon",5473,652,1642,1029,1484,495,171
"2023","......0249 Unterengstringen",4268,619,1352,813,920,380,184
"2023","......0250 Urdorf",10256,1751,2946,1812,2520,855,372
"2023","......0251 Weiningen (ZH)",5001,682,1508,924,1076,490,321
"2023",">> Bezirk Zürich",420799,95266,125142,75339,81124,28315,15613
"2023","......0261 Zürich",420799,95266,125142,75339,81124,28315,15613
"2023","- Bern / Berne",1042702,190257,341990,165042,217684,88155,39574
"2023",">> Arrondissement administratif Jura bernois",52836,9712,15726,9045,11244,4935,2174
"2023","......0431 Corgémont",1816,240,520,306,508,170,72
